Td  ID  Tj   Ta   Df   Dd   Db
2    15    2    2    0    0    0
3    2003    1    1    0    2    2
6    2007    1    1    0    5    5
6    2010    2    2    0    4    4
7    2010    2    2    0    5    5
7    2012    2    2    0    5    5
8    2006    1    1    0    7    7
10    6    1    2    1    8    9
10    13    2    2    0    8    8
11    7    1    1    0    10    10
13    2014    2    2    0    11    11
13    2001    1    1    0    12    12
13    2001    1    1    0    12    12
13    2020    6    6    0    7    7
13    2008    2    2    0    11    11
13    2011    2    2    0    11    11
13    2002    1    1    0    12    12
14    2020    6    6    0    8    8
14    2013    2    2    0    12    12
15    2020    6    6    0    9    9
17    2019    6    6    0    11    11
17    18    6    6    0    11    11
18    2018    6    6    0    12    12
18    2016    6    6    0    12    12
18    2009    2    2    0    16    16
18    2017    6    6    0    12    12
20    2029    17    17    0    3    3
20    2026    13    13    0    7    7
20    10    2    2    0    18    18
21    2027    13    13    0    8    8
21    2030    17    18    1    3    4
21    2025    13    13    0    8    8
22    2024    13    13    0    9    9
22    2030    17    18    1    4    5
22    2030    17    18    1    4    5
23    2009    2    2    0    21    21
24    2022    13    13    0    11    11
25    2035    17    17    0    8    8
25    2034    17    17    0    8    8
25    2034    17    17    0    8    8
27    2031    17    17    0    10    10
29    2033    17    17    0    12    12
33    9    2    2    0    31    31
33    3    1    1    0    32    32
33    21    6    6    0    27    27
33    17    6    6    0    27    27
33    20    6    7    1    26    27
33    22    6    7    1    26    27
33    16    6    8    2    25    27
33    25    13    13    0    20    20
33    40    33    33    0    0    0
34    2030    17    18    1    16    17
34    23    13    15    2    19    21
34    19    6    6    0    28    28
34    12    2    3    1    31    32
34    24    13    13    0    21    21
34    11    2    2    0    32    32
34    5    1    1    0    33    33
34    8    1    1    0    33    33
34    42    33    34    1    0    1
35    2    1    1    0    34    34
35    14    2    3    1    32    33
35    4    1    1    0    34    34
35    28    13    13    0    22    22
35    46    34    35    1    0    1
37    2030    17    18    1    19    20
38    2029    17    17    0    21    21
40    2046    34    34    0    6    6
40    2036    33    33    0    7    7
41    2041    33    33    0    8    8
42    2044    34    34    0    8    8
43    2052    36    36    0    7    7
43    2053    36    36    0    7    7
44    2047    34    34    0    10    10
45    2050    36    36    0    9    9
49    2062    37    37    0    12    12
49    53    36    36    0    13    13
49    61    37    37    0    12    12
49    26    13    13    0    36    36
49    69    40    40    0    9    9
49    52    36    36    0    13    13
49    55    36    36    0    13    13
49    33    17    18    1    31    32
49    27    13    14    1    35    36
49    35    17    18    1    31    32
49    31    17    17    0    32    32
49    79    49    49    0    0    0
50    2028    13    43    30    7    37
50    2058    37    37    0    13    13
50    2061    37    37    0    13    13
50    57    36    36    0    14    14
50    32    17    17    0    33    33
50    41    33    33    0    17    17
50    38    33    33    0    17    17
50    30    17    17    0    33    33
50    72    41    41    0    9    9
50    54    36    36    0    14    14
50    36    17    17    0    33    33
50    81    49    50    1    0    1
51    2028    13    43    30    8    38
51    2028    13    43    30    8    38
52    2028    13    43    30    9    39
52    2076    41    41    0    11    11
52    2028    13    43    30    9    39
52    2077    41    41    0    11    11
52    77    41    41    0    11    11
52    56    36    36    0    16    16
53    2037    33    33    0    20    20
53    2028    13    43    30    10    40
53    2079    49    49    0    4    4
54    2079    49    49    0    5    5
54    2071    41    41    0    13    13
54    102    54    54    0    0    0
55    2080    49    49    0    6    6
56    2048    34    34    0    22    22
56    2039    33    33    0    23    23
56    2040    33    33    0    23    23
56    2080    49    49    0    7    7
56    2104    54    54    0    2    2
57    2104    54    54    0    3    3
58    2049    34    34    0    24    24
58    2095    53    53    0    5    5
58    2104    54    54    0    4    4
58    2082    49    49    0    9    9
58    82    49    49    0    9    9
59    2104    54    54    0    5    5
59    2095    53    53    0    6    6
59    2078    49    49    0    10    10
59    89    52    52    0    7    7
59    100    54    54    0    5    5
59    92    52    52    0    7    7
