Td  ID  Tj   Ta   Df   Dd   Db
5    4    5    5    0    0    0
8    2001    5    6    1    2    3
8    2001    5    6    1    2    3
8    2001    5    6    1    2    3
9    2012    6    6    0    3    3
9    2006    5    5    0    4    4
9    2005    5    6    1    3    4
10    2011    6    6    0    4    4
10    2013    6    6    0    4    4
10    2003    5    5    0    5    5
10    2002    5    5    0    5    5
10    2008    6    6    0    4    4
10    2014    6    6    0    4    4
10    2004    5    6    1    4    5
11    2009    6    6    0    5    5
14    2021    13    13    0    1    1
15    2021    13    13    0    2    2
15    2018    13    13    0    2    2
16    2015    13    13    0    3    3
16    2015    13    13    0    3    3
16    2019    13    13    0    3    3
16    2019    13    13    0    3    3
17    2017    13    13    0    4    4
19    2016    13    13    0    6    6
19    2026    16    16    0    3    3
19    2025    16    16    0    3    3
19    2028    16    16    0    3    3
20    2031    19    19    0    1    1
20    2022    16    16    0    4    4
21    2024    16    16    0    5    5
22    2027    16    16    0    6    6
22    2031    19    19    0    3    3
22    2035    19    19    0    3    3
22    2034    19    19    0    3    3
22    2033    19    19    0    3    3
23    2029    19    20    1    3    4
24    2032    19    19    0    5    5
32    2031    19    19    0    13    13
33    2036    30    30    0    3    3
33    2038    30    30    0    3    3
34    2039    30    30    0    4    4
34    2053    32    32    0    2    2
34    2046    31    31    0    3    3
34    2040    30    30    0    4    4
34    2041    30    30    0    4    4
35    2042    30    30    0    5    5
35    2043    31    31    0    4    4
35    2055    32    32    0    3    3
36    2037    30    30    0    6    6
36    2044    31    31    0    5    5
36    2047    31    31    0    5    5
36    63    36    36    0    0    0
37    2050    32    33    1    4    5
37    2045    31    31    0    6    6
37    2049    31    33    2    4    6
37    2051    32    32    0    5    5
37    2052    32    32    0    5    5
37    2054    32    32    0    5    5
38    2059    36    36    0    2    2
39    2048    31    31    0    8    8
40    2062    36    36    0    4    4
40    2057    36    36    0    4    4
40    2058    36    36    0    4    4
41    2061    36    36    0    5    5
41    2061    36    36    0    5    5
41    67    41    41    0    0    0
42    2063    36    36    0    6    6
42    2066    41    41    0    1    1
43    2060    36    36    0    7    7
43    2068    41    41    0    2    2
44    2064    41    41    0    3    3
44    2072    43    43    0    1    1
45    2072    43    43    0    2    2
45    2070    41    41    0    4    4
45    2065    41    41    0    4    4
45    2065    41    41    0    4    4
46    89    46    46    0    0    0
47    2081    45    45    0    2    2
47    2091    46    46    0    1    1
47    2084    45    45    0    2    2
47    2076    43    43    0    4    4
47    91    46    47    1    0    1
48    2074    43    43    0    5    5
48    2067    41    41    0    7    7
48    2069    41    41    0    7    7
48    2089    46    46    0    2    2
49    2071    43    43    0    6    6
49    2085    46    46    0    3    3
49    2073    43    43    0    6    6
49    2079    45    45    0    4    4
49    2087    46    47    1    2    3
49    2084    45    45    0    4    4
49    2087    46    47    1    2    3
49    2078    45    45    0    4    4
49    96    49    49    0    0    0
50    2082    45    45    0    5    5
50    2083    45    45    0    5    5
50    2088    46    46    0    4    4
50    2086    46    46    0    4    4
50    2086    46    46    0    4    4
51    2098    49    49    0    2    2
53    2095    49    49    0    4    4
53    2093    49    49    0    4    4
53    2104    51    51    0    2    2
53    2104    51    51    0    2    2
53    2104    51    51    0    2    2
53    2098    49    49    0    4    4
54    2104    51    51    0    3    3
54    2099    51    51    0    3    3
55    2097    49    50    1    5    6
55    2101    51    51    0    4    4
55    2100    51    51    0    4    4
56    2092    49    49    0    7    7
57    2102    51    51    0    6    6
57    2096    49    50    1    7    8
58    2104    51    51    0    7    7
60    2104    51    51    0    9    9
60    2112    57    57    0    3    3
60    2109    57    57    0    3    3
60    2109    57    57    0    3    3
60    116    60    60    0    0    0
61    2106    57    57    0    4    4
61    2107    57    57    0    4    4
62    2115    60    60    0    2    2
63    2111    57    57    0    6    6
63    2108    57    57    0    6    6
63    2113    60    60    0    3    3
64    2116    60    61    1    3    4
64    2117    60    60    0    4    4
64    2117    60    60    0    4    4
67    2114    60    60    0    7    7
67    2119    60    60    0    7    7
68    2124    64    64    0    4    4
68    2122    64    64    0    4    4
68    2123    64    64    0    4    4
68    2121    64    64    0    4    4
69    2127    66    66    0    3    3
69    2132    66    66    0    3    3
69    2087    46    47    1    22    23
69    2132    66    66    0    3    3
70    2125    64    64    0    6    6
70    2126    64    64    0    6    6
70    2124    64    64    0    6    6
70    2130    66    66    0    4    4
70    2130    66    66    0    4    4
72    2129    66    66    0    6    6
72    2133    66    66    0    6    6
Battle Result: WIN
Earth Army Stats:
Total ES Units: 39
Total EG units: 54
Total ET units: 33
Percentage of destructed ES = 0 %
Percentage of destructed EG = 0 %
Percentage of destructed ET = 0 %
Percentage of Healed = 0% 
Percentage of Total destructed = 0%
Average of Df: 0
Average of Dd: 0
Average of Db: 0
Df/Db = 0% 
Dd/Db =0%
                                                                    

Alien Army Stats: 
Total AS units: 52
Total AM units: 42
Total AD units: 39
Percentage of destructed AS = 100% 
Percentage of destructed AM = 100% 
Percentage of destructed AD = 100%
Average of Df: 0
Average of Dd: 4
Average of Db: 4
Df/Db = 0%
Dd/Db = 100%
